input,output
I love chemistry and math. What career should I consider?,"Based on your interest in chemistry and math, consider careers in chemical engineering, pharmacology, materials science, or data science."
Can you tell me about i love chemistry and math. what career should i consider?,"Based on your interest in chemistry and math, consider careers in chemical engineering, pharmacology, materials science, or data science."
What about i love chemistry and math. what career should i consider?,"Based on your interest in chemistry and math, consider careers in chemical engineering, pharmacology, materials science, or data science."
I'm wondering about i love chemistry and math. what career should i consider?,"Based on your interest in chemistry and math, consider careers in chemical engineering, pharmacology, materials science, or data science."
Help me understand i love chemistry and math. what career should i consider?,"Based on your interest in chemistry and math, consider careers in chemical engineering, pharmacology, materials science, or data science."
Could you explain i love chemistry and math. what career should i consider?,"Based on your interest in chemistry and math, consider careers in chemical engineering, pharmacology, materials science, or data science."
I need advice on i love chemistry and math. what career should i consider?,"Based on your interest in chemistry and math, consider careers in chemical engineering, pharmacology, materials science, or data science."
What would you recommend for i love chemistry and math. what career should i consider?,"Based on your interest in chemistry and math, consider careers in chemical engineering, pharmacology, materials science, or data science."
I'm curious about i love chemistry and math. what career should i consider?,"Based on your interest in chemistry and math, consider careers in chemical engineering, pharmacology, materials science, or data science."
Tell me more about i love chemistry and math. what career should i consider?,"Based on your interest in chemistry and math, consider careers in chemical engineering, pharmacology, materials science, or data science."
I have questions about i love chemistry and math. what career should i consider?,"Based on your interest in chemistry and math, consider careers in chemical engineering, pharmacology, materials science, or data science."
What can I do with a physics degree?,"Physics opens doors to research, engineering, data analysis, finance, or technology consulting."
Can you tell me about what can i do with a physics degree?,"Physics opens doors to research, engineering, data analysis, finance, or technology consulting."
What about what can i do with a physics degree?,"Physics opens doors to research, engineering, data analysis, finance, or technology consulting."
I'm wondering about what can i do with a physics degree?,"Physics opens doors to research, engineering, data analysis, finance, or technology consulting."
Help me understand what can i do with a physics degree?,"Physics opens doors to research, engineering, data analysis, finance, or technology consulting."
Could you explain what can i do with a physics degree?,"Physics opens doors to research, engineering, data analysis, finance, or technology consulting."
I need advice on what can i do with a physics degree?,"Physics opens doors to research, engineering, data analysis, finance, or technology consulting."
What would you recommend for what can i do with a physics degree?,"Physics opens doors to research, engineering, data analysis, finance, or technology consulting."
I'm curious about what can i do with a physics degree?,"Physics opens doors to research, engineering, data analysis, finance, or technology consulting."
Tell me more about what can i do with a physics degree?,"Physics opens doors to research, engineering, data analysis, finance, or technology consulting."
I have questions about what can i do with a physics degree?,"Physics opens doors to research, engineering, data analysis, finance, or technology consulting."
I'm good at biology. What are my options?,"Biology leads to medicine, research, biotechnology, environmental science, or pharmaceutical work."
Can you tell me about i'm good at biology. what are my options?,"Biology leads to medicine, research, biotechnology, environmental science, or pharmaceutical work."
What about i'm good at biology. what are my options?,"Biology leads to medicine, research, biotechnology, environmental science, or pharmaceutical work."
I'm wondering about i'm good at biology. what are my options?,"Biology leads to medicine, research, biotechnology, environmental science, or pharmaceutical work."
Help me understand i'm good at biology. what are my options?,"Biology leads to medicine, research, biotechnology, environmental science, or pharmaceutical work."
Could you explain i'm good at biology. what are my options?,"Biology leads to medicine, research, biotechnology, environmental science, or pharmaceutical work."
I need advice on i'm good at biology. what are my options?,"Biology leads to medicine, research, biotechnology, environmental science, or pharmaceutical work."
What would you recommend for i'm good at biology. what are my options?,"Biology leads to medicine, research, biotechnology, environmental science, or pharmaceutical work."
I'm curious about i'm good at biology. what are my options?,"Biology leads to medicine, research, biotechnology, environmental science, or pharmaceutical work."
Tell me more about i'm good at biology. what are my options?,"Biology leads to medicine, research, biotechnology, environmental science, or pharmaceutical work."
I have questions about i'm good at biology. what are my options?,"Biology leads to medicine, research, biotechnology, environmental science, or pharmaceutical work."
What careers use mathematics daily?,"Mathematics is used in finance, data science, engineering, cryptography, and actuarial science."
Can you tell me about what careers use mathematics daily?,"Mathematics is used in finance, data science, engineering, cryptography, and actuarial science."
What about what careers use mathematics daily?,"Mathematics is used in finance, data science, engineering, cryptography, and actuarial science."
I'm wondering about what careers use mathematics daily?,"Mathematics is used in finance, data science, engineering, cryptography, and actuarial science."
Help me understand what careers use mathematics daily?,"Mathematics is used in finance, data science, engineering, cryptography, and actuarial science."
Could you explain what careers use mathematics daily?,"Mathematics is used in finance, data science, engineering, cryptography, and actuarial science."
I need advice on what careers use mathematics daily?,"Mathematics is used in finance, data science, engineering, cryptography, and actuarial science."
What would you recommend for what careers use mathematics daily?,"Mathematics is used in finance, data science, engineering, cryptography, and actuarial science."
